total_mass,redshift
1.0866649937680721, 1.674332954048133
1.2623643371061295, 1.9984409252325637
1.4789654963570555, 2.4538657082406505
1.724747320506263, 3.020488133215296
1.990251808704958, 3.743212429825224
2.2814402572899217, 4.622373321819981
2.5999381330971527, 5.736716798150628
2.9516689093011035, 7.106194491021085
3.329824425646627, 8.814690312688091
3.7497414948903356, 10.907062900072688
4.222613411748262, 13.53989923209355
4.747961871122352, 16.760991043567568
5.302039733065985, 20.729316189329808
5.9049052439258976, 25.752893603281972
6.521817254877076, 32.32658274914033
7.099762101163106, 40.46994753601888
7.720638251393747, 50.23891551612455
8.392389302993566, 61.65290331473133
9.380179811107302, 73.2213058409786
11.028580252507759, 83.64580470369988
12.920904993763678, 85.11498220852128
15.137921839024102, 82.90396667240587
17.735342664852514, 78.74835258880601
20.77843859841304, 73.77827676456276
24.34368022917537, 68.28728223956868
28.520659254233124, 62.69515939813626
33.414339846659615, 57.28196527590004
39.147696322003725, 51.99817450702057
45.86480338539532, 47.08722999929043
53.734456614720756, 42.45059308212019
62.95441415974179, 38.25502802829671
73.7563662476964, 34.26537053058776
86.41175737511847, 30.65453760115501
101.23860749294386, 27.280226146048605
118.609503595879, 24.17923706347451
138.96096253834153, 21.36143208502118
162.80440035711686, 18.788136625174626
190.73898375111747, 16.43807335525773
223.4666866657494, 14.318043982166689
261.8099303419176, 12.41600971177344
306.7322501101261, 10.7231362816802
359.3625082698294, 9.23486622607525
421.0232615045128, 7.914602510589478
493.2639956831568, 6.763891143333095
577.9000632123152, 5.757123435348957
676.8612408624092, 4.857905527475795
773.3657147821732, 4.130502002630675
887.9742806575605, 3.5731072060642584
1000.4497906872178, 3.0123453090450676
1132.7638340736135, 2.6868458436390594
1259.6467293825094, 2.275670730880288
1431.7480003158923, 2.0127884009762154
1591.165921505396, 1.6888591849254468
1807.5157462875522, 1.4900300315896358
1973.4983657546254, 1.2542262339006578
2255.176465113862, 1.05551737055105
2571.1493264987357, 0.8535242216052148
2896.189002030533, 0.6903946050767628
3230.3601864968578, 0.558795275864415
3567.8504452606785, 0.4542021900091896
3903.2914403249283, 0.36435560032641473
4245.871129178791, 0.293057935758237
4515.20919655529, 0.23719520770783936
4738.908275939332, 0.19221216956618836
5017.659364743986, 0.15449827637411193
5304.925596057167, 0.12410378452803131
5574.051298969516, 0.0996945769166855
5819.684103662279, 0.08388923355402482
